Title,Author,Rating,Number of users rated,Price
The Complete Air Fryer Cookbook: 1000 Recipes For Quick & Easy Air Fried Homemade Meals ,Kindle,4.9 out of 5 stars,Olivia Miller,$14.90
The Paper Palace: A Novel ,Miranda Cowley Heller,4.2 out of 5 stars,"14,256",$13.99
"The Expendable: The true story of Patrol Wing 10, PT Squadron 3, and a Navy Corpsman who refused to surrender when the Philippine Islands fell to Japan ",John Floyd,4.6 out of 5 stars,"1,452",$5.99
Little Fires Everywhere: A Novel ,Celeste Ng,4.5 out of 5 stars,"51,771",$10.20
The School Mistress (Emerson Pass Historicals Book 1) ,Audible Audiobook,4.4 out of 5 stars,Other formats: ,$0.00
Bloodline ,Jess Lourey,4.2 out of 5 stars,"17,603",$0.00
The Rainbow: Absolutely heartbreaking World War 2 historical fiction based on a true story ,Carly Schabowski,4.5 out of 5 stars,"1,219",$3.99
The Chronicles of Narnia Adult Box Set ,Paperback,4.8 out of 5 stars,Other formats: ,$0.00
"City of the Dead (Maximum Ride: Hawk, 2) ",Kindle,4.1 out of 5 stars,More Buying Choices,$14.77
Vortex: An FBI Thriller ,Hardcover,4.7 out of 5 stars,Other formats: ,$14.99
Split Second (King & Maxwell Series Book 1) ,Audible Audiobook,4.5 out of 5 stars,Other formats: ,$7.99
Evil Geniuses: The Unmaking of America: A Recent History ,Kurt Andersen,4.7 out of 5 stars,"2,218",$14.29
My Encyclopedia of Very Important Things: For Little Learners Who Want to Know Everything (My Very Important Encyclopedias) ,Kindle,4.8 out of 5 stars,Save $0.54,$7.67
Enemy at the Gates (Mitch Rapp Book 20) ,Audible Audiobook,4.6 out of 5 stars,Other formats: ,$14.99
The Other Emily ,Dean Koontz,4.2 out of 5 stars,"11,331",$12.99
The Last Rose of Shanghai: A Novel ,Weina Dai Randel,4.3 out of 5 stars,"3,149",$0.00
Before She Disappeared: A Novel (A Frankie Elkin Novel Book 1) ,Audible Audiobook,4.4 out of 5 stars,Other formats: ,$9.99
The Family ,Naomi Krupitsky,4.1 out of 5 stars,588,$18.49
Circe ,Madeline Miller,4.6 out of 5 stars,"25,274",$11.10
Local Woman Missing ,Kindle,4.4 out of 5 stars,Mary Kubica,$0.00
The Richest Man in Babylon ,Paperback,4.7 out of 5 stars,Other formats: ,$0.00
"Simple Air Fryer Cookbook with Pictures: Easy Recipes for Beginners with Tips & Tricks to Fry, Grill, Roast, and Bake | Your Everyday Air Fryer Book ",Cecily Goodwin,4.3 out of 5 stars,876,$17.99
The President's Daughter: A Thriller ,James Patterson,4.6 out of 5 stars, and ,$15.00
The Murder on the Links (Hercule Poirot Book 2) ,Paperback,4.4 out of 5 stars,Other formats: ,$1.99
A Long Walk to Water: Based on a True Story ,Linda Sue Park,4.8 out of 5 stars,"13,246",$4.59
It Ends with Us: A Novel ,Colleen Hoover,4.7 out of 5 stars,"41,360",$9.47
The Rose Code: A Novel ,Kate Quinn,4.7 out of 5 stars,"16,655",$11.99
Project Hail Mary ,Kindle,4.7 out of 5 stars,Andy Weir,$0.00
A Dance with the Fae Prince (Married to Magic) ,Paperback,4.4 out of 5 stars,Other formats: ,$0.00
